Genotype,Age,MZ,SVZ,Field,Brain no
SST,E15.5,45,35,F1,B1
SST,E15.5,21,22,F2,B1
SST,E15.5,10,21,F3,B1
SST,E15.5,30,19,F4,B1
SST,E15.5,18,16,F5,B1
SST,E15.5,46,34,F6,B1
SST,E15.5,36,19,F7,B1
SST,E15.5,25,22,F8,B1
SST,E15.5,69,36,F9,B1
SST,E15.5,26,31,F10,B1
SST,E15.5,13,19,F11,B1
SST,E15.5,16,11,F12,B1
SST,E15.5,27,17,F13,B1
SST,E15.5,32,33,F14,B1
SST,E15.5,20,19,F1,B2
SST,E15.5,12,22,F2,B2
SST,E15.5,13,24,F3,B2
SST,E15.5,22,22,F4,B2
SST,E15.5,25,32,F5,B2
SST,E15.5,22,22,F6,B2
SST,E15.5,23,27,F7,B2
SST,E15.5,14,15,F8,B2
SST,E15.5,25,21,F9,B2
SST,E15.5,23,34,F10,B2
SST,E15.5,12,27,F11,B2
SST,E15.5,56,36,F1,B3
SST,E15.5,42,43,F2,B3
SST,E15.5,32,12,F3,B3
SST,E15.5,30,19,F4,B3
SST,E15.5,16,14,F5,B3
SST,E15.5,37,17,F6,B3
SST,E15.5,65,22,F7,B3
SST,E14.5,29,16,F1,B1
SST,E14.5,49,34,F2,B1
SST,E14.5,36,24,F3,B1
SST,E14.5,50,21,F4,B1
SST,E14.5,31,21,F5,B1
SST,E14.5,37,36,F6,B1
SST,E14.5,36,25,F7,B1
SST,E14.5,24,22,F8,B1
SST,E14.5,23,30,F9,B1
SST,E14.5,32,25,F10,B1
SST,E14.5,45,43,F1,B2
SST,E14.5,54,27,F2,B2
SST,E14.5,23,10,F3,B2
SST,E14.5,18,19,F4,B2
SST,E14.5,20,19,F5,B2
SST,E14.5,37,32,F6,B2
SST,E14.5,47,34,F7,B2
SST,E14.5,44,35,F8,B2
SST,E14.5,29,18,F9,B2
SST,E14.5,28,22,F1,B3
SST,E14.5,30,32,F2,B3
SST,E14.5,31,28,F3,B3
SST,E14.5,30,24,F4,B3
SST,E14.5,17,17,F5,B3
SST,E14.5,33,18,F6,B3
SST,E14.5,23,28,F7,B3
SST,E14.5,25,23,F8,B3
SST,E14.5,27,39,F9,B3
SST,E14.5,21,11,F10,B3
SST,E16.5,149,83,F1,B1
SST,E16.5,120,107,F2,B1
SST,E16.5,73,85,F3,B1
SST,E16.5,50,59,F4,B1
SST,E16.5,52,60,F5,B1
SST,E16.5,64,83,F6,B1
SST,E16.5,81,111,F7,B1
SST,E16.5,52,49,F8,B1
SST,E16.5,79,87,F9,B1
SST,E16.5,41,31,F1,B2
SST,E16.5,54,42,F2,B2
SST,E16.5,48,46,F3,B2
SST,E16.5,39,29,F4,B2
SST,E16.5,45,33,F5,B2
SST,E16.5,48,25,F6,B2
SST,E16.5,33,50,F7,B2
SST,E16.5,40,45,F8,B2
SST,E16.5,27,28,F9,B2
SST,E16.5,46,65,F1,B3
SST,E16.5,47,46,F2,B3
SST,E16.5,34,45,F3,B3
SST,E16.5,58,40,F4,B3
SST,E16.5,50,39,F5,B3
SST,E16.5,58,41,F6,B3
SST,E16.5,67,63,F7,B3
SST,E16.5,33,31,F8,B3
Gad65-gfp,E14.5,6,8,F1,B1
Gad65-gfp,E14.5,7,13,F2,B1
Gad65-gfp,E14.5,7,12,F3,B1
Gad65-gfp,E14.5,7,8,F4,B1
Gad65-gfp,E14.5,5,9,F5,B1
Gad65-gfp,E14.5,12,29,F6,B1
Gad65-gfp,E14.5,10,22,F7,B1
Gad65-gfp,E14.5,13,49,F1,B2
Gad65-gfp,E14.5,16,37,F2,B2
Gad65-gfp,E14.5,18,35,F3,B2
Gad65-gfp,E14.5,22,41,F4,B2
Gad65-gfp,E14.5,14,20,F5,B2
Gad65-gfp,E14.5,16,35,F6,B2
Gad65-gfp,E14.5,16,22,F7,B2
Gad65-gfp,E14.5,13,41,F8,B2
Gad65-gfp,E14.5,35,50,F9,B2
Gad65-gfp,E14.5,8,8,F1,B3
Gad65-gfp,E14.5,4,10,F2,B3
Gad65-gfp,E14.5,10,15,F3,B3
Gad65-gfp,E14.5,17,16,F4,B3
Gad65-gfp,E14.5,7,28,F5,B3
Gad65-gfp,E14.5,12,14,F6,B3
Gad65-gfp,E14.5,1,20,F7,B3
Gad65-gfp,E14.5,10,39,F8,B3
Gad65-gfp,E14.5,8,33,F9,B3
Gad65-gfp,E15.5,6,7,F1,B1
Gad65-gfp,E15.5,5,25,F2,B1
Gad65-gfp,E15.5,5,21,F3,B1
Gad65-gfp,E15.5,4,29,F4,B1
Gad65-gfp,E15.5,2,15,F5,B1
Gad65-gfp,E15.5,3,28,F6,B1
Gad65-gfp,E15.5,6,20,F7,B1
Gad65-gfp,E15.5,13,33,F8,B1
Gad65-gfp,E15.5,5,11,F1,B2
Gad65-gfp,E15.5,2,14,F2,B2
Gad65-gfp,E15.5,2,16,F3,B2
Gad65-gfp,E15.5,3,12,F4,B2
Gad65-gfp,E15.5,5,36,F5,B2
Gad65-gfp,E15.5,4,17,F6,B2
Gad65-gfp,E15.5,5,14,F7,B2
Gad65-gfp,E15.5,6,32,F8,B2
Gad65-gfp,E15.5,33,130,F1,B3
Gad65-gfp,E15.5,22,112,F2,B3
Gad65-gfp,E15.5,23,106,F3,B3
Gad65-gfp,E15.5,14,112,F4,B3
Gad65-gfp,E15.5,11,102,F5,B3
Gad65-gfp,E15.5,41,106,F6,B3
Gad65-gfp,E15.5,20,91,F7,B3
Gad65-gfp,E15.5,15,127,F8,B3
Gad65-gfp,E15.5,39,121,F9,B3
Gad65-gfp,E15.5,29,86,F10,B3
Gad65-gfp,E15.5,33,71,F11,B3
Gad65-gfp,E15.5,39,70,F12,B3
Gad65-gfp,E15.5,38,150,F13,B3
Gad65-gfp,E16.5,15,54,F1,B1
Gad65-gfp,E16.5,13,64,F2,B1
Gad65-gfp,E16.5,7,61,F3,B1
Gad65-gfp,E16.5,23,62,F4,B1
Gad65-gfp,E16.5,7,72,F5,B1
Gad65-gfp,E16.5,10,56,F6,B1
Gad65-gfp,E16.5,9,83,F7,B1
Gad65-gfp,E16.5,18,73,F8,B1
Gad65-gfp,E16.5,32,95,F9,B1
Gad65-gfp,E16.5,18,62,F1,B2
Gad65-gfp,E16.5,11,62,F2,B2
Gad65-gfp,E16.5,8,49,F3,B2
Gad65-gfp,E16.5,9,41,F4,B2
Gad65-gfp,E16.5,16,61,F5,B2
Gad65-gfp,E16.5,16,55,F6,B2
Gad65-gfp,E16.5,12,47,F7,B2
Gad65-gfp,E16.5,13,39,F8,B2
Gad65-gfp,E16.5,10,45,F1,B3
Gad65-gfp,E16.5,6,23,F2,B3
Gad65-gfp,E16.5,17,56,F3,B3
Gad65-gfp,E16.5,8,39,F4,B3
Gad65-gfp,E16.5,10,33,F5,B3
Gad65-gfp,E16.5,8,29,F6,B3
Gad65-gfp,E16.5,9,35,F7,B3
Gad65-gfp,E16.5,16,53,F8,B3
Nkx2.1,E14.5,185,481,F1,B1
Nkx2.1,E14.5,184,440,F2,B1
Nkx2.1,E14.5,142,359,F3,B1
Nkx2.1,E14.5,130,412,F4,B1
Nkx2.1,E14.5,125,444,F5,B1
Nkx2.1,E14.5,99,376,F6,B1
Nkx2.1,E14.5,116,334,F7,B1
Nkx2.1,E14.5,123,404,F8,B1
Nkx2.1,E14.5,116,597,F9,B1
Nkx2.1,E14.5,253,454,F1,B2
Nkx2.1,E14.5,204,418,F2,B2
Nkx2.1,E14.5,194,484,F3,B2
Nkx2.1,E14.5,147,416,F4,B2
Nkx2.1,E14.5,128,470,F5,B2
Nkx2.1,E14.5,104,541,F6,B2
Nkx2.1,E14.5,229,522,F7,B2
Nkx2.1,E14.5,121,392,F8,B2
Nkx2.1,E14.5,140,419,F9,B2
Nkx2.1,E14.5,245,539,F1,B3
Nkx2.1,E14.5,242,622,F2,B3
Nkx2.1,E14.5,195,386,F3,B3
Nkx2.1,E14.5,189,569,F4,B3
Nkx2.1,E14.5,166,416,F5,B3
Nkx2.1,E14.5,172,545,F6,B3
Nkx2.1,E14.5,187,501,F7,B3
Nkx2.1,E14.5,95,251,F8,B3
Nkx2.1,E14.5,43,259,F9,B3
Nkx2.1,E15.5,304,527,F1,B1
Nkx2.1,E15.5,163,537,F2,B1
Nkx2.1,E15.5,134,233,F3,B1
Nkx2.1,E15.5,117,487,F4,B1
Nkx2.1,E15.5,99,305,F5,B1
Nkx2.1,E15.5,62,295,F6,B1
Nkx2.1,E15.5,65,382,F7,B1
Nkx2.1,E15.5,86,374,F8,B1
Nkx2.1,E15.5,148,303,F1,B2
Nkx2.1,E15.5,122,309,F2,B2
Nkx2.1,E15.5,141,436,F3,B2
Nkx2.1,E15.5,108,372,F4,B2
Nkx2.1,E15.5,97,346,F5,B2
Nkx2.1,E15.5,111,350,F6,B2
Nkx2.1,E15.5,128,462,F7,B2
Nkx2.1,E15.5,62,320,F8,B2
Nkx2.1,E15.5,183,380,F1,B3
Nkx2.1,E15.5,223,355,F2,B3
Nkx2.1,E15.5,115,378,F3,B3
Nkx2.1,E15.5,112,333,F4,B3
Nkx2.1,E15.5,93,241,F5,B3
Nkx2.1,E15.5,95,321,F6,B3
Nkx2.1,E15.5,141,440,F7,B3
Nkx2.1,E15.5,130,387,F8,B3
Nkx2.1,E16.5,76,352,F1,B1
Nkx2.1,E16.5,86,371,F2,B1
Nkx2.1,E16.5,80,259,F3,B1
Nkx2.1,E16.5,63,364,F4,B1
Nkx2.1,E16.5,117,353,F5,B1
Nkx2.1,E16.5,103,360,F6,B1
Nkx2.1,E16.5,90,365,F7,B1
Nkx2.1,E16.5,72,422,F8,B1
Nkx2.1,E16.5,55,310,F1,B2
Nkx2.1,E16.5,81,234,F2,B2
Nkx2.1,E16.5,68,220,F3,B2
Nkx2.1,E16.5,87,283,F4,B2
Nkx2.1,E16.5,153,540,F5,B2
Nkx2.1,E16.5,111,364,F6,B2
Nkx2.1,E16.5,162,456,F7,B2
Nkx2.1,E16.5,111,258,F8,B2
Nkx2.1,E16.5,94,337,F1,B3
Nkx2.1,E16.5,115,368,F2,B3
Nkx2.1,E16.5,102,229,F3,B3
Nkx2.1,E16.5,91,222,F4,B3
Nkx2.1,E16.5,111,284,F5,B3
Nkx2.1,E16.5,70,322,F6,B3
Nkx2.1,E16.5,101,247,F7,B3
Nkx2.1,E16.5,124,197,F8,B3
Dlx1/2,E14.5,5,7,F1,B1
Dlx1/2,E14.5,4,4,F2,B1
Dlx1/2,E14.5,3,4,F3,B1
Dlx1/2,E14.5,5,4,F4,B1
Dlx1/2,E14.5,5,6,F5,B1
Dlx1/2,E14.5,7,4,F6,B1
Dlx1/2,E14.5,3,4,F7,B1
Dlx1/2,E14.5,7,4,F8,B1
Dlx1/2,E14.5,3,6,F9,B1
Dlx1/2,E14.5,3,2,F10,B1
Dlx1/2,E14.5,3,4,F11,B1
Dlx1/2,E14.5,4,4,F12,B1
Dlx1/2,E14.5,5,3,F13,B1
Dlx1/2,E14.5,1,4,F14,B1
Dlx1/2,E14.5,7,5,F15,B1
Dlx1/2,E14.5,2,2,F16,B1
Dlx1/2,E14.5,3,2,F17,B1
Dlx1/2,E14.5,4,3,F18,B1
Dlx1/2,E14.5,5,5,F19,B1
Dlx1/2,E14.5,7,5,F20,B1
Dlx1/2,E14.5,2,2,F21,B1
Dlx1/2,E14.5,5,5,F22,B1
Dlx1/2,E14.5,4,4,F1,B2
Dlx1/2,E14.5,8,1,F2,B2
Dlx1/2,E14.5,3,5,F3,B2
Dlx1/2,E14.5,6,3,F4,B2
Dlx1/2,E14.5,2,1,F5,B2
Dlx1/2,E14.5,4,5,F6,B2
Dlx1/2,E14.5,5,2,F7,B2
Dlx1/2,E14.5,8,5,F8,B2
Dlx1/2,E14.5,8,3,F9,B2
Dlx1/2,E14.5,7,7,F10,B2
Dlx1/2,E14.5,2,3,F11,B2
Dlx1/2,E14.5,5,5,F12,B2
Dlx1/2,E14.5,5,3,F13,B2
Dlx1/2,E14.5,6,6,F14,B2
Dlx1/2,E14.5,3,5,F15,B2
Dlx1/2,E14.5,6,6,F16,B2
Dlx1/2,E14.5,6,4,F17,B2
Dlx1/2,E14.5,5,2,F18,B2
Dlx1/2,E14.5,2,1,F19,B2
Dlx1/2,E14.5,3,6,F20,B2
Dlx1/2,E14.5,6,4,F21,B2
Dlx1/2,E14.5,5,4,F22,B2
Dlx1/2,E14.5,5,3,F23,B2
Dlx1/2,E14.5,5,7,F1,B3
Dlx1/2,E14.5,10,4,F2,B3
Dlx1/2,E14.5,2,2,F3,B3
Dlx1/2,E14.5,5,5,F4,B3
Dlx1/2,E14.5,8,4,F5,B3
Dlx1/2,E14.5,6,7,F6,B3
Dlx1/2,E14.5,7,5,F7,B3
Dlx1/2,E14.5,5,6,F8,B3
Dlx1/2,E14.5,7,6,F9,B3
Dlx1/2,E14.5,10,4,F10,B3
Dlx1/2,E14.5,2,2,F11,B3
Dlx1/2,E14.5,2,5,F12,B3
Dlx1/2,E14.5,8,5,F13,B3
Dlx1/2,E14.5,3,2,F14,B3
Dlx1/2,E14.5,3,3,F15,B3
Dlx1/2,E14.5,6,3,F16,B3
Dlx1/2,E14.5,8,5,F17,B3
Dlx1/2,E14.5,3,6,F18,B3
Dlx1/2,E14.5,7,3,F19,B3
Dlx1/2,E14.5,9,6,F20,B3
Dlx1/2,E16.5,5,2,F1,B1
Dlx1/2,E16.5,9,3,F2,B1
Dlx1/2,E16.5,7,6,F3,B1
Dlx1/2,E16.5,3,2,F4,B1
Dlx1/2,E16.5,6,4,F5,B1
Dlx1/2,E16.5,9,10,F6,B1
Dlx1/2,E16.5,17,10,F7,B1
Dlx1/2,E16.5,10,6,F8,B1
Dlx1/2,E16.5,7,8,F9,B1
Dlx1/2,E16.5,13,3,F10,B1
Dlx1/2,E16.5,13,10,F11,B1
Dlx1/2,E16.5,19,8,F12,B1
Dlx1/2,E16.5,7,10,F13,B1
Dlx1/2,E16.5,10,3,F14,B1
Dlx1/2,E16.5,20,21,F1,B2
Dlx1/2,E16.5,20,22,F2,B2
Dlx1/2,E16.5,24,9,F3,B2
Dlx1/2,E16.5,10,10,F4,B2
Dlx1/2,E16.5,21,12,F5,B2
Dlx1/2,E16.5,20,19,F6,B2
Dlx1/2,E16.5,24,13,F7,B2
Dlx1/2,E16.5,21,19,F8,B2
Dlx1/2,E16.5,13,17,F9,B2
Dlx1/2,E16.5,14,16,F10,B2
Dlx1/2,E16.5,23,19,F11,B2
Dlx1/2,E16.5,14,25,F12,B2
Dlx1/2,E16.5,29,11,F13,B2
Dlx1/2,E16.5,16,20,F14,B2
Dlx1/2,E16.5,12,12,F15,B2
Dlx1/2,E16.5,31,20,F16,B2
Dlx1/2,E16.5,9,9,F1,B3
Dlx1/2,E16.5,13,10,F2,B3
Dlx1/2,E16.5,13,7,F3,B3
Dlx1/2,E16.5,7,8,F4,B3
Dlx1/2,E16.5,14,8,F5,B3
Dlx1/2,E16.5,8,8,F6,B3
Dlx1/2,E16.5,18,8,F7,B3
Dlx1/2,E16.5,10,7,F8,B3
Dlx1/2,E16.5,8,12,F9,B3
Dlx1/2,E16.5,12,12,F10,B3
Dlx1/2,E16.5,12,14,F11,B3
Dlx1/2,E16.5,5,4,F12,B3
Dlx1/2,E16.5,11,10,F13,B3
Dlx1/2,E16.5,12,10,F14,B3
Dlx1/2,E16.5,12,8,F15,B3
Dlx1/2,E16.5,7,5,F16,B3
Dlx1/2,E15.5,12,9,F1,B1
Dlx1/2,E15.5,13,10,F2,B1
Dlx1/2,E15.5,15,10,F3,B1
Dlx1/2,E15.5,14,11,F4,B1
Dlx1/2,E15.5,12,11,F5,B1
Dlx1/2,E15.5,13,14,F6,B1
Dlx1/2,E15.5,10,7,F7,B1
Dlx1/2,E15.5,11,11,F8,B1
Dlx1/2,E15.5,23,15,F1,B2
Dlx1/2,E15.5,22,18,F2,B2
Dlx1/2,E15.5,19,20,F3,B2
Dlx1/2,E15.5,17,17,F4,B2
Dlx1/2,E15.5,19,22,F5,B2
Dlx1/2,E15.5,22,25,F6,B2
Dlx1/2,E15.5,15,16,F7,B2
Dlx1/2,E15.5,15,10,F1,B3
Dlx1/2,E15.5,12,9,F2,B3
Dlx1/2,E15.5,12,8,F3,B3
Dlx1/2,E15.5,10,11,F4,B3
Dlx1/2,E15.5,9,11,F5,B3
Dlx1/2,E15.5,11,12,F6,B3
Dlx1/2,E15.5,8,5,F7,B3
Dlx1/2,E15.5,10,12,F8,B3
Dlx1/2,E15.5,11,9,F9,B3
