brain,field,meanINT,genotype,area
M153-2a,F1,190.651,Mafb+/fl,L1
M153-2a,F2,225.186,Mafb+/fl,L1
M153-2a,F3,230.325,Mafb+/fl,L1
M153-2a,F4,228.857,Mafb+/fl,L1
M153-2a,F5,150.989,Mafb+/fl,L1
M153-2a,F6,195.64,Mafb+/fl,L1
M153-2a,F7,236.998,Mafb+/fl,L1
M153-2a,F8,195.855,Mafb+/fl,L1
M153-2a,F9,151.98,Mafb+/fl,L1
171215_b3A,F1,131.605,Mafb-fl/fl,L1
171215_b3A,F2,130.107,Mafb-fl/fl,L1
171215_b3A,F3,137.072,Mafb-fl/fl,L1
171215_b3A,F4,128.407,Mafb-fl/fl,L1
171215_b3A,F5,146.225,Mafb-fl/fl,L1
171215_b3A,F6,146.775,Mafb-fl/fl,L1
171215_b3A,F7,151.447,Mafb-fl/fl,L1
171215_b3A,F8,155.241,Mafb-fl/fl,L1
171215_b3A,F9,152.124,Mafb-fl/fl,L1
171215_b3A,F10,114.334,Mafb-fl/fl,L1
M153-2a,F1,108.9,Mafb+/fl,L3
M153-2a,F2,110.956,Mafb+/fl,L3
M153-2a,F3,114.151,Mafb+/fl,L3
M153-2a,F4,104.923,Mafb+/fl,L3
M153-2a,F5,112.168,Mafb+/fl,L3
M153-2a,F6,120.585,Mafb+/fl,L3
M153-2a,F7,127.362,Mafb+/fl,L3
M153-2a,F8,136.628,Mafb+/fl,L3
M153-2a,F9,132.037,Mafb+/fl,L3
171215_b3A,F1,105.615,Mafb-fl/fl,L3
171215_b3A,F2,95.623,Mafb-fl/fl,L3
171215_b3A,F3,103.337,Mafb-fl/fl,L3
171215_b3A,F4,99.664,Mafb-fl/fl,L3
171215_b3A,F5,99.664,Mafb-fl/fl,L3
171215_b3A,F6,102.033,Mafb-fl/fl,L3
171215_b3A,F7,103.232,Mafb-fl/fl,L3
171215_b3A,F8,102.521,Mafb-fl/fl,L3
171215_b3A,F9,106.342,Mafb-fl/fl,L3
171215_b3A,F10,99.303,Mafb-fl/fl,L3
171215_B1A,F1,451.804,Mafb+/fl,L1
171215_B1A,F1,182.999,Mafb+/fl,L3
171215_B1A,F2,413.73,Mafb+/fl,L1
171215_B1A,F2,231.757,Mafb+/fl,L3
171215_B1A,F3,555.193,Mafb+/fl,L1
171215_B1A,F3,223.395,Mafb+/fl,L3
171215_B1A,F4,505.772,Mafb+/fl,L1
171215_B1A,F4,261.114,Mafb+/fl,L3
171215_B1A,F5,636.281,Mafb+/fl,L1
171215_B1A,F5,282.159,Mafb+/fl,L3
171215_B1A,F6,504.485,Mafb+/fl,L1
171215_B1A,F6,320.759,Mafb+/fl,L3
171215_B1A,F7,551.759,Mafb+/fl,L1
171215_B1A,F7,323.557,Mafb+/fl,L3
171215_B1A,F8,497.118,Mafb+/fl,L1
171215_B1A,F8,240.474,Mafb+/fl,L3
171215_B1A,F9,472.416,Mafb+/fl,L1
171215_B1A,F9,214.003,Mafb+/fl,L3
171215_B1A,F10,501.493,Mafb+/fl,L1
171215_B1A,F10,159.876,Mafb+/fl,L3
270416_m91_L1,F1,168.134,Mafb-fl/fl,L1
270416_m91_L1,F1,104.577,Mafb-fl/fl,L3
270416_m91_L1,F2,200.644,Mafb-fl/fl,L1
270416_m91_L1,F2,100.682,Mafb-fl/fl,L3
270416_m91_L1,F3,177.38,Mafb-fl/fl,L1
270416_m91_L1,F3,101.829,Mafb-fl/fl,L3
270416_m91_L1,F4,121.971,Mafb-fl/fl,L1
270416_m91_L1,F4,102.12,Mafb-fl/fl,L3
270416_m91_L1,F5,177.38,Mafb-fl/fl,L1
270416_m91_L1,F5,104.497,Mafb-fl/fl,L3
270416_m91_L1,F6,129.075,Mafb-fl/fl,L1
270416_m91_L1,F6,82.207,Mafb-fl/fl,L3
270416_m91_L1,F7,188.18,Mafb-fl/fl,L1
270416_m91_L1,F7,128.096,Mafb-fl/fl,L3
270416_m91_L1,F8,158.256,Mafb-fl/fl,L1
270416_m91_L1,F8,115.382,Mafb-fl/fl,L3
270416_m91_L1,F9,199.406,Mafb-fl/fl,L1
270416_m91_L1,F9,114.045,Mafb-fl/fl,L3
270416_m91_L1,F10,164.865,Mafb-fl/fl,L1
270416_m91_L1,F10,115.004,Mafb-fl/fl,L3
270416_m91_L1,F11,166.502,Mafb-fl/fl,L1
270416_m91_L1,F11,137.762,Mafb-fl/fl,L3
270416_m91_L1,F12,213.56,Mafb-fl/fl,L1
270416_m91_L1,F12,135.988,Mafb-fl/fl,L3
270416_m91_L2,F1,209.889,Mafb+/fl,L1
270416_m91_L2,F1,134.238,Mafb+/fl,L3
270416_m91_L2,F2,198.985,Mafb+/fl,L1
270416_m91_L2,F2,124.475,Mafb+/fl,L3
270416_m91_L2,F3,250.479,Mafb+/fl,L1
270416_m91_L2,F3,169.199,Mafb+/fl,L3
270416_m91_L2,F4,223.708,Mafb+/fl,L1
270416_m91_L2,F4,120.012,Mafb+/fl,L3
270416_m91_L2,F5,196.996,Mafb+/fl,L1
270416_m91_L2,F5,129.782,Mafb+/fl,L3
270416_m91_L2,F6,180.852,Mafb+/fl,L1
270416_m91_L2,F6,92.377,Mafb+/fl,L3
270416_m91_L2,F7,249.964,Mafb+/fl,L1
270416_m91_L2,F7,143.226,Mafb+/fl,L3
270416_m91_L2,F8,218.703,Mafb+/fl,L1
270416_m91_L2,F8,122.865,Mafb+/fl,L3
270416_m91_L2,F9,173.199,Mafb+/fl,L1
270416_m91_L2,F9,82.972,Mafb+/fl,L3
270416_m91_L2,F10,184.506,Mafb+/fl,L1
270416_m91_L2,F10,118.295,Mafb+/fl,L3
270416_m91_L2,F11,197.365,Mafb+/fl,L1
270416_m91_L2,F11,102.892,Mafb+/fl,L3
270416_m91_R1,F1,162.331,Mafb-fl/fl,L1
270416_m91_R1,F1,124.494,Mafb-fl/fl,L3
270416_m91_R1,F2,228.476,Mafb-fl/fl,L1
270416_m91_R1,F2,126.731,Mafb-fl/fl,L3
270416_m91_R1,F3,224.048,Mafb-fl/fl,L1
270416_m91_R1,F3,147.684,Mafb-fl/fl,L3
270416_m91_R1,F4,174.653,Mafb-fl/fl,L1
270416_m91_R1,F4,122.552,Mafb-fl/fl,L3
270416_m91_R1,F5,157.327,Mafb-fl/fl,L1
270416_m91_R1,F5,125.049,Mafb-fl/fl,L3
270416_m91_R1,F6,277.654,Mafb-fl/fl,L1
270416_m91_R1,F6,143.948,Mafb-fl/fl,L3
270416_m91_R1,F7,266.299,Mafb-fl/fl,L1
270416_m91_R1,F7,116.543,Mafb-fl/fl,L3
270416_m91_R1,F8,232.334,Mafb-fl/fl,L1
270416_m91_R1,F8,150.317,Mafb-fl/fl,L3
270416_m91_R1,F9,183.656,Mafb-fl/fl,L1
270416_m91_R1,F9,111.239,Mafb-fl/fl,L3
270416_m91_R1,F10,140.722,Mafb-fl/fl,L1
270416_m91_R1,F10,133.556,Mafb-fl/fl,L3
270416_m91_R1,F11,230.55,Mafb-fl/fl,L1
270416_m91_R1,F11,153.41,Mafb-fl/fl,L3
270416_m91_R1,F12,207.171,Mafb-fl/fl,L1
270416_m91_R1,F12,134.07,Mafb-fl/fl,L3
270416_m91_R1,F13,158.603,Mafb-fl/fl,L1
270416_m91_R1,F13,135.783,Mafb-fl/fl,L3
171215_B2A,F1,228.855,Mafb+/fl,L1
171215_B2A,F1,111.847,Mafb+/fl,L3
171215_B2A,F2,235.651,Mafb+/fl,L1
171215_B2A,F2,116.938,Mafb+/fl,L3
171215_B2A,F3,233.01,Mafb+/fl,L1
171215_B2A,F3,106.699,Mafb+/fl,L3
171215_B2A,F4,166.259,Mafb+/fl,L1
171215_B2A,F4,99.535,Mafb+/fl,L3
171215_B2A,F5,193.734,Mafb+/fl,L1
171215_B2A,F5,102.587,Mafb+/fl,L3
171215_B2A,F6,244.864,Mafb+/fl,L1
171215_B2A,F6,124.749,Mafb+/fl,L3
171215_B2A,F7,218.597,Mafb+/fl,L1
171215_B2A,F7,96.071,Mafb+/fl,L3
171215_B2A,F8,166.519,Mafb+/fl,L1
171215_B2A,F8,107.292,Mafb+/fl,L3
171215_B2A,F9,195.652,Mafb+/fl,L1
171215_B2A,F9,115.871,Mafb+/fl,L3
171215_B4A,F1,263.669,Mafb-fl/fl,L1
171215_B4A,F1,160.237,Mafb-fl/fl,L3
171215_B4A,F2,420.697,Mafb-fl/fl,L1
171215_B4A,F2,182.613,Mafb-fl/fl,L3
171215_B4A,F3,369.654,Mafb-fl/fl,L1
171215_B4A,F3,149.081,Mafb-fl/fl,L3
171215_B4A,F4,378.344,Mafb-fl/fl,L1
171215_B4A,F4,186.907,Mafb-fl/fl,L3
171215_B4A,F5,469.342,Mafb-fl/fl,L1
171215_B4A,F5,184.737,Mafb-fl/fl,L3
171215_B4A,F6,352.859,Mafb-fl/fl,L1
171215_B4A,F6,189.881,Mafb-fl/fl,L3
171215_B4A,F7,358.889,Mafb-fl/fl,L1
171215_B4A,F7,154.345,Mafb-fl/fl,L3
171215_B4A,F8,346.789,Mafb-fl/fl,L1
171215_B4A,F8,140.839,Mafb-fl/fl,L3
171215_B4A,F9,345.336,Mafb-fl/fl,L1
171215_B4A,F9,163.632,Mafb-fl/fl,L3
171215_B4A,F10,345.22,Mafb-fl/fl,L1
171215_B4A,F10,146.938,Mafb-fl/fl,L3
