,"tdt","SST_tdt","PV_tdt","AreaMmsq","Layers","Brainno","imagename","Genotype","Age"
"1",0,0,0,0.19852,"L1","B3","150216-M35-1A_001","NkxcreER_tamoxE14","P21"
"2",3,2,1,0.4416,"L23","B3","150216-M35-1A_001","NkxcreER_tamoxE14","P21"
"3",9,1,4,0.30791,"L4","B3","150216-M35-1A_001","NkxcreER_tamoxE14","P21"
"4",9,2,3,0.50845,"L5","B3","150216-M35-1A_001","NkxcreER_tamoxE14","P21"
"5",1,0,1,0.48212,"L6","B3","150216-M35-1A_001","NkxcreER_tamoxE14","P21"
"6",0,0,0,0.18193,"L1","B1","150216-M35-1A_002","NkxcreER_tamoxE14","P21"
"7",4,1,2,0.43018,"L23","B1","150216-M35-1A_002","NkxcreER_tamoxE14","P21"
"8",3,0,2,0.25015,"L4","B1","150216-M35-1A_002","NkxcreER_tamoxE14","P21"
"9",7,3,2,0.39607,"L5","B1","150216-M35-1A_002","NkxcreER_tamoxE14","P21"
"10",4,0,2,0.59506,"L6","B1","150216-M35-1A_002","NkxcreER_tamoxE14","P21"
"11",0,0,0,0.18987,"L1","B1","150216-M35-1A_004","NkxcreER_tamoxE14","P21"
"12",4,1,1,0.44801,"L23","B1","150216-M35-1A_004","NkxcreER_tamoxE14","P21"
"13",7,2,4,0.32428,"L4","B1","150216-M35-1A_004","NkxcreER_tamoxE14","P21"
"14",8,0,2,0.49495,"L5","B1","150216-M35-1A_004","NkxcreER_tamoxE14","P21"
"15",1,0,1,0.58242,"L6","B1","150216-M35-1A_004","NkxcreER_tamoxE14","P21"
"16",0,0,0,0.14294,"L1","B1","150216-M35-1A_005","NkxcreER_tamoxE14","P21"
"17",4,2,1,0.51628,"L23","B1","150216-M35-1A_005","NkxcreER_tamoxE14","P21"
"18",7,0,4,0.27734,"L4","B1","150216-M35-1A_005","NkxcreER_tamoxE14","P21"
"19",9,2,1,0.48215,"L5","B1","150216-M35-1A_005","NkxcreER_tamoxE14","P21"
"20",1,0,0,0.53122,"L6","B1","150216-M35-1A_005","NkxcreER_tamoxE14","P21"
"21",0,0,0,0.19268,"L1","B1","150216-M35-1A_006","NkxcreER_tamoxE14","P21"
"22",3,1,1,0.53993,"L23","B1","150216-M35-1A_006","NkxcreER_tamoxE14","P21"
"23",2,1,0,0.24773,"L4","B1","150216-M35-1A_006","NkxcreER_tamoxE14","P21"
"24",5,2,1,0.43406,"L5","B1","150216-M35-1A_006","NkxcreER_tamoxE14","P21"
"25",2,1,1,0.56745,"L6","B1","150216-M35-1A_006","NkxcreER_tamoxE14","P21"
"26",0,0,0,0.15277,"L1","B1","150216-M35-1A_007","NkxcreER_tamoxE14","P21"
"27",9,1,2,0.53363,"L23","B1","150216-M35-1A_007","NkxcreER_tamoxE14","P21"
"28",9,1,5,0.30555,"L4","B1","150216-M35-1A_007","NkxcreER_tamoxE14","P21"
"29",6,1,1,0.4325,"L5","B1","150216-M35-1A_007","NkxcreER_tamoxE14","P21"
"30",1,0,1,0.47553,"L6","B1","150216-M35-1A_007","NkxcreER_tamoxE14","P21"
"31",0,0,0,0.11998,"L1","B3","150216-M35-1A_008","NkxcreER_tamoxE14","P21"
"32",4,1,1,0.50611,"L23","B3","150216-M35-1A_008","NkxcreER_tamoxE14","P21"
"33",8,1,4,0.2836,"L4","B3","150216-M35-1A_008","NkxcreER_tamoxE14","P21"
"34",7,1,5,0.46466,"L5","B3","150216-M35-1A_008","NkxcreER_tamoxE14","P21"
"35",0,0,0,0.5432,"L6","B3","150216-M35-1A_008","NkxcreER_tamoxE14","P21"
"36",0,0,0,0.15635,"L1","B1","150216-M35-1A_009","NkxcreER_tamoxE14","P21"
"37",1,1,1,0.51974,"L23","B1","150216-M35-1A_009","NkxcreER_tamoxE14","P21"
"38",5,0,2,0.29156,"L4","B1","150216-M35-1A_009","NkxcreER_tamoxE14","P21"
"39",5,0,2,0.4141,"L5","B1","150216-M35-1A_009","NkxcreER_tamoxE14","P21"
"40",0,0,0,0.39086,"L6","B1","150216-M35-1A_009","NkxcreER_tamoxE14","P21"
"41",0,0,0,0.15476,"L1","B1","150216-M35-1A_010","NkxcreER_tamoxE14","P21"
"42",5,1,0,0.51972,"L23","B1","150216-M35-1A_010","NkxcreER_tamoxE14","P21"
"43",10,0,6,0.33724,"L4","B1","150216-M35-1A_010","NkxcreER_tamoxE14","P21"
"44",10,2,4,0.52896,"L5","B1","150216-M35-1A_010","NkxcreER_tamoxE14","P21"
"45",3,2,0,0.53357,"L6","B1","150216-M35-1A_010","NkxcreER_tamoxE14","P21"
"46",0,0,0,0.17627,"L1","B1","150216-M35-1A_011","NkxcreER_tamoxE14","P21"
"47",5,0,2,0.45417,"L23","B1","150216-M35-1A_011","NkxcreER_tamoxE14","P21"
"48",13,2,3,0.35462,"L4","B1","150216-M35-1A_011","NkxcreER_tamoxE14","P21"
"49",8,1,0,0.40647,"L5","B1","150216-M35-1A_011","NkxcreER_tamoxE14","P21"
"50",0,0,0,0.49357,"L6","B1","150216-M35-1A_011","NkxcreER_tamoxE14","P21"
"51",1,0,0,0.11526,"L1","B1","150216-M35-1A_012","NkxcreER_tamoxE14","P21"
"52",4,1,1,0.36787,"L23","B1","150216-M35-1A_012","NkxcreER_tamoxE14","P21"
"53",5,0,2,0.18315,"L4","B1","150216-M35-1A_012","NkxcreER_tamoxE14","P21"
"54",7,0,2,0.29051,"L5","B1","150216-M35-1A_012","NkxcreER_tamoxE14","P21"
"55",1,0,1,0.31735,"L6","B1","150216-M35-1A_012","NkxcreER_tamoxE14","P21"
"56",0,0,0,0.12569,"L1","B3","150216-M35-2A_001","NkxcreER_tamoxE14","P21"
"57",3,2,0,0.4183,"L23","B3","150216-M35-2A_001","NkxcreER_tamoxE14","P21"
"58",8,1,8,0.27886,"L4","B3","150216-M35-2A_001","NkxcreER_tamoxE14","P21"
"59",8,3,3,0.44186,"L5","B3","150216-M35-2A_001","NkxcreER_tamoxE14","P21"
"60",3,2,2,0.59111,"L6","B3","150216-M35-2A_001","NkxcreER_tamoxE14","P21"
"61",0,0,0,0.19458,"L1","B2","150216-M35-2A_002","NkxcreER_tamoxE14","P21"
"62",7,0,3,0.58146,"L23","B2","150216-M35-2A_002","NkxcreER_tamoxE14","P21"
"63",11,1,10,0.27929,"L4","B2","150216-M35-2A_002","NkxcreER_tamoxE14","P21"
"64",7,2,2,0.51508,"L5","B2","150216-M35-2A_002","NkxcreER_tamoxE14","P21"
"65",1,0,1,0.54026,"L6","B2","150216-M35-2A_002","NkxcreER_tamoxE14","P21"
"66",0,0,0,0.19092,"L1","B2","150216-M35-2A_003","NkxcreER_tamoxE14","P21"
"67",6,1,1,0.4361,"L23","B2","150216-M35-2A_003","NkxcreER_tamoxE14","P21"
"68",11,0,9,0.28336,"L4","B2","150216-M35-2A_003","NkxcreER_tamoxE14","P21"
"69",12,1,8,0.45418,"L5","B2","150216-M35-2A_003","NkxcreER_tamoxE14","P21"
"70",1,0,0,0.47026,"L6","B2","150216-M35-2A_003","NkxcreER_tamoxE14","P21"
"71",1,1,0,0.23004,"L1","B2","150216-M35-2A_004","NkxcreER_tamoxE14","P21"
"72",5,0,3,0.48752,"L23","B2","150216-M35-2A_004","NkxcreER_tamoxE14","P21"
"73",8,1,5,0.28281,"L4","B2","150216-M35-2A_004","NkxcreER_tamoxE14","P21"
"74",7,1,4,0.46009,"L5","B2","150216-M35-2A_004","NkxcreER_tamoxE14","P21"
"75",0,0,0,0.49596,"L6","B2","150216-M35-2A_004","NkxcreER_tamoxE14","P21"
"76",0,0,0,0.13107,"L1","B2","150216-M35-2A_005","NkxcreER_tamoxE14","P21"
"77",5,1,2,0.40647,"L23","B2","150216-M35-2A_005","NkxcreER_tamoxE14","P21"
"78",4,0,2,0.20241,"L4","B2","150216-M35-2A_005","NkxcreER_tamoxE14","P21"
"79",11,1,5,0.36002,"L5","B2","150216-M35-2A_005","NkxcreER_tamoxE14","P21"
"80",2,1,0,0.44795,"L6","B2","150216-M35-2A_005","NkxcreER_tamoxE14","P21"
"81",0,0,0,0.14126,"L1","B3","150216-M35-2A_006","NkxcreER_tamoxE14","P21"
"82",6,0,3,0.52437,"L23","B3","150216-M35-2A_006","NkxcreER_tamoxE14","P21"
"83",11,1,7,0.26753,"L4","B3","150216-M35-2A_006","NkxcreER_tamoxE14","P21"
"84",5,0,2,0.49012,"L5","B3","150216-M35-2A_006","NkxcreER_tamoxE14","P21"
"85",1,0,1,0.4837,"L6","B3","150216-M35-2A_006","NkxcreER_tamoxE14","P21"
"86",0,0,0,0.15822,"L1","B2","150216-M35-2A_007","NkxcreER_tamoxE14","P21"
"87",5,0,4,0.45584,"L23","B2","150216-M35-2A_007","NkxcreER_tamoxE14","P21"
"88",7,1,6,0.22792,"L4","B2","150216-M35-2A_007","NkxcreER_tamoxE14","P21"
"89",7,0,4,0.35601,"L5","B2","150216-M35-2A_007","NkxcreER_tamoxE14","P21"
"90",0,0,0,0.41251,"L6","B2","150216-M35-2A_007","NkxcreER_tamoxE14","P21"
"91",0,0,0,0.12547,"L1","B2","150216-M35-2A_008","NkxcreER_tamoxE14","P21"
"92",4,0,1,0.38107,"L23","B2","150216-M35-2A_008","NkxcreER_tamoxE14","P21"
"93",3,1,2,0.18589,"L4","B2","150216-M35-2A_008","NkxcreER_tamoxE14","P21"
"94",6,2,4,0.34544,"L5","B2","150216-M35-2A_008","NkxcreER_tamoxE14","P21"
"95",1,1,0,0.35319,"L6","B2","150216-M35-2A_008","NkxcreER_tamoxE14","P21"
"96",0,0,0,0.12832,"L1","B2","150216-M35-2A_009","NkxcreER_tamoxE14","P21"
"97",5,1,4,0.34648,"L23","B2","150216-M35-2A_009","NkxcreER_tamoxE14","P21"
"98",5,1,4,0.21976,"L4","B2","150216-M35-2A_009","NkxcreER_tamoxE14","P21"
"99",10,2,5,0.37375,"L5","B2","150216-M35-2A_009","NkxcreER_tamoxE14","P21"
"100",2,0,1,0.45395,"L6","B2","150216-M35-2A_009","NkxcreER_tamoxE14","P21"
"101",0,0,0,0.14247,"L1","B3","150216-M35-2A_010","NkxcreER_tamoxE14","P21"
"102",5,1,3,0.53533,"L23","B3","150216-M35-2A_010","NkxcreER_tamoxE14","P21"
"103",11,4,6,0.30436,"L4","B3","150216-M35-2A_010","NkxcreER_tamoxE14","P21"
"104",7,3,3,0.42093,"L5","B3","150216-M35-2A_010","NkxcreER_tamoxE14","P21"
"105",2,0,1,0.54829,"L6","B3","150216-M35-2A_010","NkxcreER_tamoxE14","P21"
"106",0,0,0,0.12704,"L1","B2","150216-M35-2A_011","NkxcreER_tamoxE14","P21"
"107",4,1,2,0.39383,"L23","B2","150216-M35-2A_011","NkxcreER_tamoxE14","P21"
"108",7,0,2,0.24319,"L4","B2","150216-M35-2A_011","NkxcreER_tamoxE14","P21"
"109",14,2,8,0.34301,"L5","B2","150216-M35-2A_011","NkxcreER_tamoxE14","P21"
"110",0,0,0,0.44465,"L6","B2","150216-M35-2A_011","NkxcreER_tamoxE14","P21"
